objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
157,E07000128,Wyre, ,347227,445159,-2.80462003,53.89990997,282147541.860313,191451.287562872
158,E07000129,Blaby, ,454385,297994,-1.19886994,52.5770607,130468678.126408,100819.969122512
159,E07000130,Charnwood, ,458365,316155,-1.13694,52.73989868,279042268.610365,115474.360020697
160,E07000131,Harborough, ,474549,293875,-0.90228999,52.53765869,592692047.971725,185950.937405511
161,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41754997,52.60876846,297349279.700689,111596.329660031
162,E07000133,Melton, ,477328,323472,-0.85439998,52.80329132,481380516.04139,140629.596846514
163,E07000134,North West Leicestershire, ,439111,316252,-1.42209005,52.74250031,279328073.811463,116453.199374244
164,E07000135,Oadby and Wigston, ,461543,299379,-1.09300005,52.58874893,23526097.1298111,31172.0472343523
165,E07000136,Boston, ,526851,343953,-0.11218,52.97793961,364889915.828288,156196.435983966
166,E07000137,East Lindsey, ,534862,376106,0.020549,53.26483154,1765004480.22913,316615.783240208
167,E07000138,Lincoln, ,496347,370096,-0.55848002,53.21921158,35690275.4118075,32969.8842405188
168,E07000139,North Kesteven, ,502135,354788,-0.47670001,53.08058167,922471384.665862,181807.85490688
169,E07000140,South Holland, ,532909,322928,-0.03058,52.78757858,750912063.462187,198170.115154059
170,E07000141,South Kesteven, ,501406,328986,-0.49564999,52.84885025,942585798.913978,209816.484632714
171,E07000142,West Lindsey, ,499314,390326,-0.50774002,53.40044022,1155731960.36147,249630.835712812
172,E07000143,Breckland, ,591015,303330,0.81871599,52.59421158,1305116643.23598,239527.755990686
173,E07000144,Broadland, ,619865,315909,1.25233197,52.6962204,552400756.791151,205126.360830105
174,E07000145,Great Yarmouth, ,646760,315882,1.64949596,52.68439865,174470650.775214,137814.464814904
175,E07000146,King's Lynn and West Norfolk, ,571220,315805,0.53325802,52.71282959,1438842462.9308,432722.219329821
176,E07000147,North Norfolk, ,611083,330845,1.132195,52.83377838,964046162.683094,357488.274844238
177,E07000148,Norwich, ,622355,309773,1.28497899,52.64012909,39023519.5395351,52509.1198786595
178,E07000149,South Norfolk, ,628991,295823,1.37324798,52.51218033,907705134.549114,258370.028116193
179,E07000150,Corby, ,487862,290681,-0.7069,52.50696945,80280901.1732848,66291.6223202422
180,E07000151,Daventry, ,467286,268437,-1.01446998,52.30994034,665600467.512047,181982.929453903
181,E07000152,East Northamptonshire, ,501344,287839,-0.50919998,52.47909164,509787257.066232,163229.102796263
182,E07000153,Kettering, ,483866,282852,-0.76773,52.43722916,233489925.830066,100689.545353724
183,E07000154,Northampton, ,476495,260539,-0.88121003,52.23775101,80771938.69204,46341.5257377105
184,E07000155,South Northamptonshire, ,463000,247077,-1.08129001,52.11843872,634023186.138162,225304.665129393
185,E07000156,Wellingborough, ,487787,266827,-0.71425003,52.29257965,163036492.487172,69758.4239671049
186,E07000163,Craven, ,389513,461989,-2.16167998,54.05376053,1178807437.89991,199883.797875633
187,E07000164,Hambleton, ,443009,490546,-1.34048998,54.30871964,1311228139.9785,298519.865534221
188,E07000165,Harrogate, ,427473,464652,-1.58160996,54.07707977,1309127597.93217,246964.632102141
189,E07000166,Richmondshire, ,401039,495786,-1.98552001,54.3576088,1318707280.35588,221710.084530915
190,E07000167,Ryedale, ,475590,478890,-0.84276998,54.20021057,1506593776.69294,249894.238876685
191,E07000168,Scarborough, ,495797,495547,-0.52780002,54.34648895,816487078.440387,243175.893028583
192,E07000169,Selby, ,457551,426670,-1.12908006,53.73326874,599310807.863425,264869.300641007
193,E07000170,Ashfield, ,450035,355843,-1.25422001,53.09746933,109557941.446114,69174.8655599051
194,E07000171,Bassetlaw, ,468073,384835,-0.97869998,53.35604095,637803647.480476,159734.780024487
195,E07000172,Broxtowe, ,449829,341893,-1.25943995,52.9720993,80098837.2879863,65999.8419917091
196,E07000173,Gedling, ,459184,347811,-1.11907005,53.02434158,119981504.334904,69754.6730289219
197,E07000174,Mansfield, ,455047,363637,-1.17804003,53.16703033,76696898.5424454,51090.8327785578
198,E07000175,Newark and Sherwood, ,470624,357451,-0.94643003,53.10960007,651340471.039817,187422.492359711
199,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.91239929,409231535.83281,123324.400715902
200,E07000177,Cherwell, ,449301,221201,-1.28506005,51.8871994,588741175.273319,225626.219299472
201,E07000178,Oxford, ,452277,206368,-1.24405003,51.75357056,45602907.7021998,34999.6674931916
202,E07000179,South Oxfordshire, ,463890,191964,-1.07846999,51.62287903,678537177.564013,205361.687873475
203,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65443039,578644522.989275,175938.628059451
204,E07000181,West Oxfordshire, ,434343,215816,-1.50292003,51.83990097,714422025.82525,160247.859883675
205,E07000187,Mendip, ,362238,144090,-2.54177999,51.19475937,739435423.894547,198850.04714563
206,E07000188,Sedgemoor, ,338426,143997,-2.88250995,51.19184875,564358328.321898,243393.705804957
207,E07000189,South Somerset, ,345633,120798,-2.7758801,50.98398972,959040236.751257,241317.075379284
208,E07000190,Taunton Deane, ,318327,123470,-3.16542006,51.00479126,462366991.323482,174002.418164965
209,E07000191,West Somerset, ,294768,136702,-3.50494003,51.11989975,726897629.351005,176561.891118657
210,E07000192,Cannock Chase, ,401261,311553,-1.98276997,52.70166016,78882572.1760971,50127.6145035609
211,E07000193,East Staffordshire, ,412601,326569,-1.81438005,52.8365097,389985154.577616,183775.754261272
212,E07000194,Lichfield, ,416283,310967,-1.76048994,52.69615173,331294324.007173,127468.420116097
213,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32630992,53.00344849,210957319.194159,108259.276987605
214,E07000196,South Staffordshire, ,389625,311037,-2.1549499,52.69691849,407322251.841061,184894.338708168
215,E07000197,Stafford, ,389001,327836,-2.1647501,52.84791946,598172230.449838,159078.818684826
216,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334002,53.06924057,575849816.630857,152448.150699674
217,E07000199,Tamworth, ,421455,302550,-1.68450999,52.62031174,30850716.5357019,30730.0628068686
218,E07000200,Babergh, ,599994,244657,0.91623098,52.06417847,595214511.686503,190631.85005505
219,E07000201,Forest Heath, ,572316,273586,0.52760601,52.33330917,377710784.721252,146442.982622653
220,E07000202,Ipswich, ,616954,244670,1.16326702,52.05791855,39522487.7260444,44885.1555137902
221,E07000203,Mid Suffolk, ,611646,262338,1.09695303,52.21858978,871070646.270566,191154.659989528
222,E07000204,St Edmundsbury, ,582672,265927,0.675273,52.26118088,656964998.661562,204397.393193997
223,E07000205,Suffolk Coastal, ,633247,258767,1.41014194,52.17782974,891729651.302746,388971.766544033
224,E07000206,Waveney, ,642301,287890,1.56323695,52.43524933,370131707.034122,158465.551248395
225,E07000207,Elmbridge, ,511882,163658,-0.39441001,51.36098099,96334280.0495125,52206.1075391454
226,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.33945084,34079154.1759973,28503.713406434
227,E07000209,Guildford, ,500408,151481,-0.56256998,51.25365829,270931192.173652,128414.485127536
228,E07000210,Mole Valley, ,518377,148953,-0.30603001,51.22748947,258320947.940925,105403.164557286
229,E07000211,Reigate and Banstead, ,525786,152574,-0.19870999,51.258461,129143924.778841,79923.678930237
230,E07000212,Runnymede, ,501777,166979,-0.53855002,51.39273071,78040685.6279,45677.4121153024
231,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41551971,51161362.9321801,44134.5349564055
232,E07000214,Surrey Heath, ,491362,160483,-0.68985999,51.33610153,95092958.4731915,53559.7348680141
233,E07000215,Tandridge, ,536365,150325,-0.04805,51.23580933,248194570.175012,83136.9191884943
234,E07000216,Waverley, ,496363,140635,-0.62343001,51.15686035,345170236.452531,125436.057184691
235,E07000217,Woking, ,499087,157542,-0.57981998,51.30836868,63603602.6820917,54781.487815462
236,E07000218,North Warwickshire, ,425570,296399,-1.62419999,52.56483841,284263708.159043,113280.710345574
237,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965002,52.50093842,78950290.9948073,48148.7100730202
238,E07000220,Rugby, ,446498,276244,-1.31827998,52.38227844,353557278.134809,115093.601962086
239,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565004,52.16154099,977869054.885427,261384.078741747
240,E07000222,Warwick, ,428484,267113,-1.58369005,52.3014183,282882320.708985,116717.460604711
241,E07000223,Adur, ,518065,106473,-0.32433,50.84572983,41929796.033434,56705.3193494362
242,E07000224,Arun, ,495145,105724,-0.64998001,50.84320831,220932574.225625,153690.895106848
243,E07000225,Chichester, ,490285,116600,-0.71630001,50.94176865,786216143.605393,243042.281648803
244,E07000226,Crawley, ,526390,137581,-0.19532999,51.12356949,44971204.8923863,38799.7231060725
245,E07000227,Horsham, ,513676,123839,-0.38123,51.00270844,530270863.717745,212479.95495386
246,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.05952835,334029221.003277,132912.363759478
247,E07000229,Worthing, ,512679,104948,-0.40127,50.83309937,32521824.4793824,29411.5918114187
248,E07000234,Bromsgrove, ,399840,273736,-2.0037601,52.36169052,216968485.29274,113135.4642517
249,E07000235,Malvern Hills, ,377465,252197,-2.33088994,52.16757965,577070983.691347,230605.77188207
250,E07000236,Redditch, ,403705,265253,-1.94710004,52.28541183,54250912.4814336,41301.8194929343
251,E07000237,Worcester, ,385725,255196,-2.2102499,52.1948204,33278124.5789371,31263.0449428551
252,E07000238,Wychavon, ,398991,247839,-2.01613998,52.12886047,663541968.7564,219520.111589651
253,E07000239,Wyre Forest, ,384106,276388,-2.23494005,52.38529968,195403717.58852,100867.388049548
254,E07000240,St Albans, ,514580,209623,-0.3407,51.77355957,161205876.814989,72946.352773773
255,E07000241,Welwyn Hatfield, ,525345,208467,-0.18517999,51.76087189,129536895.605012,82392.0818790702
256,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.86484909,475669219.455089,135188.935375209
257,E07000243,Stevenage, ,524622,224531,-0.18987,51.90539169,25969241.7718851,28588.2604227949
258,E08000001,Bolton, ,368352,409873,-2.47952008,53.58449173,139792045.274073,82647.1442556308
259,E08000002,Bury, ,379658,410768,-2.30879998,53.5931015,99460125.4042,68541.7825214151
260,E08000003,Manchester, ,384591,397063,-2.23358989,53.47008896,115648228.794646,86851.205851319
261,E08000004,Oldham, ,396603,406784,-2.0527401,53.55767822,142344915.466965,71165.738471058
262,E08000005,Rochdale, ,390315,412326,-2.14784002,53.60741043,158128177.080181,82713.0958322854
263,E08000006,Salford, ,374556,398128,-2.38485003,53.47927094,97197279.2493882,63268.7790822425
264,E08000007,Stockport, ,391806,388264,-2.12467003,53.39115906,126040274.71107,73638.7990915821
